0,Anchorage,61.21,-149.90
1,Juneau,58.45,-134.23
2,Fairbanks,64.84,-147.65
3,Talkeetna,62.28,-150.08
4,Barrow,71.27,-156.76
5,Healy,63.95,-149.02
6,Wasilla,61.58,-149.47
7,Unalaska,53.93,-166.55
8,Nome,64.51,-165.41
9,Sitka,57.18,-135.31
10,Eielson AFB,64.67,-147.04
11,Ketchikan,55.36,-131.67
12,King Salmon,58.75,-156.51
13,Haines,59.25,-135.45
14,Seward,60.11,-149.39
15,Kotzebue,66.87,-162.52
16,Palmer,61.6,-149.11
17,Naknek,58.78,-156.9
18,Bethel,60.79,-161.79
19,Valdez,61.1,-146.31
20,Kodiak,57.79,-152.41
21,Homer,59.64,-151.51
