Space-Angels Accion-Systems Analytical-Space Isotropic-Systems Leo-Labs Made-in-Space Planet SpaceX Hempisphere-Ventures Akash-Systems Lynk DCVC RRE-Ventures Lux-Capital Marcbell Founders-Fund
Space-Angels 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
Accion-Systems 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Analytical-Space 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Isotropic-Systems 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Leo-Labs 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Made-in-Space 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Planet 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SpaceX 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Hempisphere-Ventures 0 0 1 0 1 0 1 1 0 1 1 0 0 0 0 0
Akash-Systems 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Lynk 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DCVC 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
RRE-Ventures 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Lux-Capital 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
Marcbell 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
Founders-Fund 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
